IMPORTANT DETAIL,,,
"In order to insert an Idea that uses a PivotTable or formula, your data was organized in columns with a single header row.",,,
,,,
,,,
,Field1,Field2,Field3
,Table of 1 US Dollar to South African Rand Exchange Rate:,US DOLLAR CASH II E HYBRID USD ACC,Updated: 12/02/21 12:13
,Date,1 USD = 14.625 ZAR,Link
,Thursday 11 February 2021,1 USD = 14.755 ZAR,USD ZAR rate for 11/02/2021
,Wednesday 10 February 2021,1 USD = 14.725 ZAR,USD ZAR rate for 10/02/2021
,Tuesday 9 February 2021,1 USD = 14.866 ZAR,USD ZAR rate for 09/02/2021
,Monday 8 February 2021,1 USD = 14.918 ZAR,USD ZAR rate for 08/02/2021
,Sunday 7 February 2021,1 USD = 14.842 ZAR,USD ZAR rate for 07/02/2021
,Saturday 6 February 2021,1 USD = 14.840 ZAR,USD ZAR rate for 06/02/2021
,Friday 5 February 2021,1 USD = 15.000 ZAR,USD ZAR rate for 05/02/2021
,Thursday 4 February 2021,1 USD = 14.942 ZAR,USD ZAR rate for 04/02/2021
,Wednesday 3 February 2021,1 USD = 14.962 ZAR,USD ZAR rate for 03/02/2021
,Tuesday 2 February 2021,1 USD = 15.062 ZAR,USD ZAR rate for 02/02/2021
,Monday 1 February 2021,1 USD = 15.186 ZAR,USD ZAR rate for 01/02/2021
,Sunday 31 January 2021,1 USD = 15.178 ZAR,USD ZAR rate for 31/01/2021
,Saturday 30 January 2021,1 USD = 15.167 ZAR,USD ZAR rate for 30/01/2021
,Friday 29 January 2021,1 USD = 15.211 ZAR,USD ZAR rate for 29/01/2021
,Thursday 28 January 2021,1 USD = 15.289 ZAR,USD ZAR rate for 28/01/2021
,Wednesday 27 January 2021,1 USD = 15.064 ZAR,USD ZAR rate for 27/01/2021
,Tuesday 26 January 2021,1 USD = 15.230 ZAR,USD ZAR rate for 26/01/2021
,Monday 25 January 2021,1 USD = 15.148 ZAR,USD ZAR rate for 25/01/2021
,Sunday 24 January 2021,1 USD = 15.154 ZAR,USD ZAR rate for 24/01/2021
,Saturday 23 January 2021,1 USD = 15.154 ZAR,USD ZAR rate for 23/01/2021
,Friday 22 January 2021,1 USD = 14.934 ZAR,USD ZAR rate for 22/01/2021
,Thursday 21 January 2021,1 USD = 14.904 ZAR,USD ZAR rate for 21/01/2021
,Wednesday 20 January 2021,1 USD = 14.993 ZAR,USD ZAR rate for 20/01/2021
,Tuesday 19 January 2021,1 USD = 15.169 ZAR,USD ZAR rate for 19/01/2021
,Monday 18 January 2021,1 USD = 15.231 ZAR,USD ZAR rate for 18/01/2021
,Sunday 17 January 2021,1 USD = 15.227 ZAR,USD ZAR rate for 17/01/2021
,Saturday 16 January 2021,1 USD = 15.228 ZAR,USD ZAR rate for 16/01/2021
,Friday 15 January 2021,1 USD = 15.099 ZAR,USD ZAR rate for 15/01/2021
,Thursday 14 January 2021,1 USD = 15.263 ZAR,USD ZAR rate for 14/01/2021
,Wednesday 13 January 2021,1 USD = 15.206 ZAR,USD ZAR rate for 13/01/2021
,Tuesday 12 January 2021,1 USD = 15.539 ZAR,USD ZAR rate for 12/01/2021
,Monday 11 January 2021,1 USD = 15.308 ZAR,USD ZAR rate for 11/01/2021
