type,time
b,0.10227438
b,22.17813422
c,9.518105459
a,4.031374138
b,24.0751296
c,9.163631476
b,9.277806297
b,0.630928045
a,7.691103266
b,1.513028163
a,1.948313726
a,1.662716349
a,4.045834813
b,47.14595687
c,6.254535182
b,12.20195019
a,2.237931171
b,5.411044255
b,9.270800627
b,22.81824049
b,4.499156009
c,12.78980246
a,1.501199632
b,1.753611486
a,2.220196705
a,9.203129533
c,28.15017424
c,9.128190102
a,1.44865935
a,4.040129125
b,8.190839894
c,0.48858007
b,1.321799565
c,0.089505079
b,7.636999696
c,1.27031175
a,14.27829672
c,1.152698956
a,5.412950814
b,2.902533308
a,9.728174908
b,6.672474861
b,5.427773535
c,2.439294141
c,25.76457171
b,6.936364352
b,7.422258809
b,14.77666925
b,4.671557561
b,17.00711907
a,2.032708288
a,0.280791274
b,0.159237027
a,0.050818364
a,5.211112068
a,5.972353229
a,1.678077248
a,1.270076616
c,1.180944969
b,0.392397236
a,1.118324249
a,4.55405835
b,4.902743138
c,1.374285435
a,0.838232463
b,1.762729865
a,14.62373663
c,13.63331881
b,6.06045436
c,1.258407896
a,9.993783457
a,4.230126245
a,5.810820013
b,0.982684482
a,0.412441462
a,2.744604179
b,24.49996184
c,1.691409587
a,6.978601897
b,15.14185324
a,6.167607487
c,1.618753346
b,5.633879669
b,12.42764023
b,5.11606089
a,3.906280817
b,9.593816317
a,8.356733741
a,13.67282052
a,8.380956221
c,6.404745658
b,6.613575552
a,0.566617053
b,1.113851901
c,21.80626605
b,3.032494418
c,7.910120049
a,1.729798992
c,5.717471191
a,1.183292561
b,1.404101171
b,12.94140532
b,10.22984917
b,11.21186197
b,8.142289452
a,0.24264827
b,0.456816786
b,16.65620245
b,1.507018382
a,4.572382387
a,4.080108916
b,17.50868558
a,2.297813948
c,1.038400489
a,5.005328823
a,5.050810896
a,4.332584743
a,0.382189713
a,23.52477098
a,6.187795941
c,13.66884718
a,6.734127435
b,7.449542619
c,4.141779058
b,9.715253554
b,0.56496663
b,13.12957231
a,2.863272425
a,4.838289232
a,9.730230119
a,1.293842841
a,7.269567019
b,2.021220721
a,1.875353323
a,11.8052427
c,9.35208599
b,3.822597668
a,1.578056754
a,0.420993585
c,20.42556936
a,5.790408181
b,5.331862226
a,10.23333531
c,16.81414684
b,5.518902332
c,3.518447853
a,6.705241282
a,6.167557849
a,17.38389458
a,3.425917088
c,0.15243676
a,9.829414514
a,11.31645321
b,10.42236803
b,8.976580448
a,1.11511084
a,6.560912323
a,7.201681044
a,7.655125251
a,1.010270961
a,1.518328171
b,15.71368724
a,6.69805543
b,20.2347608
a,2.344231028
b,2.895953857
b,11.00575392
b,7.931539021
c,4.780728375
b,2.386845883
a,3.854516754
a,2.860453487
b,4.741764292
a,14.09758925
a,16.88084632
a,0.166616018
c,6.346901204
a,0.339381174
b,23.19632602
c,32.32369207
a,0.336503892
a,9.445153102
b,1.949046397
b,16.77897219
c,14.35726467
a,4.079807119
a,1.915902661
c,2.685067155
a,2.137615257
c,11.08532107
a,4.423834192
a,9.807668048
a,6.601969651
a,16.61275104
a,5.14205608
a,1.958457501
a,1.506313363
a,1.64023498
b,18.62981458
b,25.26000833
b,20.92303742
b,8.975611095
c,6.623965735
a,2.80232189
c,18.29015564
b,1.753481653
a,3.953862922
a,5.155299641
a,4.599644216
a,1.05987438
c,6.906267903
b,0.42227754
b,5.31478186
b,5.641509659
b,3.912507463
a,4.095654664
a,6.964919148
a,6.101880614
a,10.04879337
a,1.469602865
a,9.645221522
a,1.809994176
a,14.42213349
c,4.672142072
a,6.840613959
b,1.901102468
a,1.595918271
a,0.586506752
a,4.249296528
a,8.906037211
b,6.206054032
a,0.991794721
a,7.571261311
c,2.117436701
b,2.000823863
a,1.343770901
a,4.445394716
a,3.754843366
a,2.410621665
b,5.89673027
a,1.979511286
a,1.445938665
b,8.873435817
a,1.70730188
b,4.546923939
a,3.217782276
a,2.286218666
a,3.01469225
b,25.3410626
a,5.513297617
a,0.003942534
a,4.293286047
b,1.955450715
a,1.244253777
a,0.252187082
a,9.400058882
a,0.372285891
b,3.791105978
